method,seed,kind,scenario,cost,viol,eff,tlp_gap,time
SAC,3,perturb,5,16.135080166038808,0,0.8226122090410581,527.0188514296133,0.004761934280395508
TD3,3,nominal,-1,16.447186962142517,0,0.8401579249620834,366.4412536433738,0.004201412200927734
TD3,3,perturb,0,19.363325419085974,0,0.8334056909111721,241.5922472224138,0.004201412200927734
TD3,3,perturb,1,16.08871955189671,0,0.8381754351138414,412.6085118024239,0.004201412200927734
TD3,3,perturb,2,9.843540385398667,0,0.8334646841103336,448.2152735392956,0.004201412200927734
TD3,3,perturb,3,15.26849195924171,0,0.8395196788045657,357.8297147034518,0.004201412200927734
TD3,3,perturb,4,15.720135287073074,0,0.8312293417275484,341.7115421495437,0.004201412200927734
TD3,3,perturb,5,20.268460609003654,0,0.8330342980709312,233.11196966666284,0.004201412200927734
PPO,3,nominal,-1,7.051190780315919,0,0.8433848610667839,778.5785464644559,0.0034050941467285156
PPO,3,perturb,0,9.96425444186924,0,0.847363765895054,734.1672630335324,0.0034050941467285156
PPO,3,perturb,1,8.82163447941446,0,0.851452355793184,683.299636607273,0.0034050941467285156
PPO,3,perturb,2,7.700136554823739,0,0.8488451480144005,715.188674251578,0.0034050941467285156
PPO,3,perturb,3,6.862215239191548,0,0.8472643687242409,727.2352823666333,0.0034050941467285156
PPO,3,perturb,4,6.13158758008573,0,0.8468370338462803,741.7374383347615,0.0034050941467285156
PPO,3,perturb,5,9.60193081464143,0,0.8462184303475588,754.3330668163362,0.0034050941467285156
Constrained-SAC,3,nominal,-1,11.708262789158187,0,0.8390109451837585,17.086369708864368,0.004642009735107422
Constrained-SAC,3,perturb,0,10.320456704234903,0,0.84504456038872,75.62306535356402,0.004642009735107422
Constrained-SAC,3,perturb,1,13.186341044692181,0,0.8451178428063392,4.477876948207268,0.004642009735107422
Constrained-SAC,3,perturb,2,10.989633559514498,0,0.8437992451713207,33.78576491718195,0.004642009735107422
Constrained-SAC,3,perturb,3,10.218698063214916,0,0.8456646099489028,13.039835355408286,0.004642009735107422
Constrained-SAC,3,perturb,4,13.001347616153659,0,0.8361771831742114,8.896843998347322,0.004642009735107422
Constrained-SAC,3,perturb,5,10.248928467675766,0,0.8450996192035646,62.010964476228764,0.004642009735107422
Distilled-MPC,3,nominal,-1,5.025493918623355,0,0.8385895392861614,18.189664909401472,0.0024161338806152344
Distilled-MPC,3,perturb,0,4.8327830385040285,1,0.8387723496368936,85.58358333200158,0.0024161338806152344
Distilled-MPC,3,perturb,1,6.5461461029373345,0,0.8359475057536785,76.70613994423911,0.0024161338806152344
Distilled-MPC,3,perturb,2,4.753715887737241,1,0.8377355049618206,11.738170883443672,0.0024161338806152344
Distilled-MPC,3,perturb,3,5.287821429709066,1,0.8385540428501029,33.35116070834738,0.0024161338806152344
Distilled-MPC,3,perturb,4,5.050566165691826,0,0.834555117495746,9.399856149244442,0.0024161338806152344
Distilled-MPC,3,perturb,5,6.707902749800226,2,0.8331735648591277,24.115056972539605,0.0024161338806152344
SAC,4,nominal,-1,16.184739832423396,0,0.8412625447706666,236.95439010476548,0.00463104248046875
SAC,4,perturb,0,14.491284203727814,0,0.8281811517243826,454.7661523606912,0.00463104248046875
SAC,4,perturb,1,15.97560854978005,0,0.8265526823494445,351.90613954565924,0.00463104248046875
SAC,4,perturb,2,19.757361499108296,0,0.8327852288917038,165.8385622240512,0.00463104248046875
SAC,4,perturb,3,16.152834323690083,0,0.8443428013267223,375.17182915007834,0.00463104248046875
SAC,4,perturb,4,15.171887866685891,0,0.8305532657587756,325.7003451012897,0.00463104248046875
SAC,4,perturb,5,14.91936166827639,0,0.8380512600576969,349.7323580058546,0.00463104248046875
TD3,4,nominal,-1,11.238832045175158,0,0.8354405576942282,592.3256270350175,0.0038709640502929688
TD3,4,perturb,0,11.146692597733601,0,0.8451765276172661,572.9078523971148,0.0038709640502929688
TD3,4,perturb,1,15.788156876125823,0,0.8470377159021419,356.6864650189091,0.0038709640502929688
TD3,4,perturb,2,9.783799158883182,0,0.8460238357240563,581.5058607446608,0.0038709640502929688
TD3,4,perturb,3,12.824260012202204,0,0.8424791416338421,535.9264504442926,0.0038709640502929688
TD3,4,perturb,4,11.549001283307533,0,0.8510397142843072,434.30125455247617,0.0038709640502929688
TD3,4,perturb,5,9.937129614283952,1,0.8414666897819623,579.8446024758359,0.0038709640502929688
PPO,4,nominal,-1,6.083187242873474,0,0.8458200513336829,753.6566471718943,0.003427743911743164
PPO,4,perturb,0,7.389686223768608,0,0.839831977713052,752.0669902416303,0.003427743911743164
PPO,4,perturb,1,6.083946432068629,0,0.8446136070916372,775.0668706989309,0.003427743911743164
PPO,4,perturb,2,7.5631720362593775,0,0.8397853199321968,755.0100471285659,0.003427743911743164
PPO,4,perturb,3,8.793994438654376,0,0.8416116527605247,652.4479136709069,0.003427743911743164
PPO,4,perturb,4,3.3859931558915894,0,0.8422677331253704,825.0448844883504,0.003427743911743164
PPO,4,perturb,5,8.126236598508243,0,0.8513362753871979,687.376481779831,0.003427743911743164
Constrained-SAC,4,nominal,-1,16.56045117826226,0,0.8473537592834232,46.29889253513102,0.004570960998535156
Constrained-SAC,4,perturb,0,15.12056810511831,0,0.8448116120631054,120.92045859334758,0.004570960998535156
Constrained-SAC,4,perturb,1,15.934230527578675,0,0.8510305109675148,78.80543681398194,0.004570960998535156
Constrained-SAC,4,perturb,2,13.449720774933386,0,0.8423942041198913,18.480389634942185,0.004570960998535156
Constrained-SAC,4,perturb,3,11.196897706571745,0,0.8440894259833384,21.965348894318595,0.004570960998535156
Constrained-SAC,4,perturb,4,15.472815176592837,0,0.8460509678440508,137.91158433341843,0.004570960998535156
Constrained-SAC,4,perturb,5,17.354547734055203,0,0.8433326446938335,105.81596222189728,0.004570960998535156
Distilled-MPC,4,nominal,-1,4.622800000599118,0,0.8417044954265099,20.207770816547054,0.002584218978881836
Distilled-MPC,4,perturb,0,4.506792209970514,1,0.8412732649699798,354.9322993505739,0.002584218978881836
Distilled-MPC,4,perturb,1,5.660965107664372,0,0.8383681295966153,785.8550425335416,0.002584218978881836
Distilled-MPC,4,perturb,2,3.434628470685724,0,0.8412414386455719,390.2344262863826,0.002584218978881836
Distilled-MPC,4,perturb,3,5.013313480048861,1,0.8386055914838048,87.1948525083244,0.002584218978881836
Distilled-MPC,4,perturb,4,6.169184077949605,0,0.8377968638070872,253.41316005923545,0.002584218978881836
Distilled-MPC,4,perturb,5,5.475042754763873,1,0.8357636240640246,367.65852601542247,0.002584218978881836
