#{"t_start": 1777344675.0154219, "env_id": "None"}
r,l,t
-3105.529268,365,3578.268278
-3073.211723,365,3584.744049
-3129.521946,365,3590.838375
-3168.95599,365,3596.438509
-3184.013461,365,3604.86974
-3041.142396,365,3611.16144
-3059.720445,365,3617.477083
-3050.802496,365,3623.763128
-3085.949955,365,3630.161991
-3015.958025,365,3636.188712
-3020.316514,365,3642.635644
-3023.328862,365,3649.036803
-3116.467359,365,3655.650959
-3156.886393,365,3662.301151
-3081.419414,365,3668.54535
-3142.424329,365,3674.64941
-3013.011324,365,3681.240789
-3021.464882,365,3689.834555
-3133.433733,365,3695.863568
-2982.689241,365,3702.059936
-3046.653548,365,3708.169342
-3038.971933,365,3714.612976
-3108.171294,365,3720.833608
-3042.986299,365,3726.549967
-3061.397007,365,3733.220231
-3046.072829,365,3739.759792
-3119.212644,365,3746.291252
-3059.891565,365,3752.514685
-3021.500971,365,3758.599419
-3008.153377,365,3765.023812
-3089.867691,365,3771.468729
-3009.308811,365,3779.752393
-2998.659215,365,3785.655276
-3022.335992,365,3792.319382
-3003.153882,365,3798.100807
-3030.558324,365,3804.553216
-3040.085659,365,3811.163843
-2981.576257,365,3817.53912
-3034.851991,365,3824.146622
-3135.551982,365,3830.255986
-3016.607043,365,3836.386449
-2997.118739,365,3843.05934
-3038.442983,365,3849.617326
-3071.889414,365,3855.445846
-3047.619281,365,3862.007825
-3072.408925,365,3870.136315
-3057.496594,365,3875.934732
-3146.367021,365,3882.199988
-3123.521605,365,3887.804738
-3036.145565,365,3894.267565
-3033.957432,365,3900.820138
-3212.718504,365,3907.06298
-3135.004708,365,3913.64236
-3012.919026,365,3919.944369
-2982.044262,365,3926.416197
-3058.104846,365,3932.835017
-3055.042113,365,3939.223158
-2989.161872,365,3945.483816
