#{"t_start": 1777363659.051414, "env_id": "None"}
r,l,t
-3125.376961,365,741.19904
-3169.99408,365,744.178133
-3180.88745,365,747.155547
-3141.616957,365,750.166188
-3160.598706,365,753.61165
-3125.412528,365,757.116358
-3123.609533,365,760.499854
-3091.858403,365,763.54363
-3112.973825,365,766.816438
-3154.142238,365,770.14466
-3135.09785,365,773.402638
-3148.638276,365,776.446848
-3189.708183,365,779.658394
-3163.220428,365,784.014089
-3219.726495,365,786.958977
-3199.337684,365,789.931058
-3211.712308,365,793.007817
-3230.917407,365,796.111791
-3277.967926,365,799.089296
-3321.21644,365,802.030452
-3294.122566,365,805.519986
-3291.920598,365,808.790689
-3315.134182,365,812.025078
-3299.918805,365,815.307647
-3318.130926,365,819.040913
-3320.906078,365,822.206652
-3303.918214,365,825.462866
-3328.361869,365,829.778793
-3322.507238,365,832.704831
-3297.611481,365,835.819085
-3287.339838,365,839.485044
-3245.961251,365,842.783613
-3259.67152,365,846.317625
-3243.226814,365,849.922447
-3239.662473,365,852.965334
-3226.425675,365,855.998322
-3177.064516,365,859.336494
-3177.052617,365,862.384802
-3156.56312,365,865.664624
-3023.595419,365,868.666312
-3011.111628,365,873.887136
-3020.217301,365,877.027191
-3027.413276,365,881.184482
-3053.347247,365,884.571891
-3066.207649,365,887.627912
-3047.677745,365,891.060644
-3066.464352,365,894.147895
-3052.376239,365,897.046793
-3042.137338,365,900.332277
-3056.405987,365,903.24713
-3050.411812,365,906.683729
-3011.428179,365,910.020603
-3013.976616,365,913.675111
-2988.462921,365,916.604421
-2993.633608,365,921.376627
-2975.503168,365,924.325894
-2974.086097,365,927.250685
-2939.423539,365,930.303603
-2963.226159,365,933.420412
-3212.171228,365,936.597354
-3165.569779,365,939.81087
-2952.52929,365,942.96897
-2937.120606,365,946.313759
-3057.039229,365,949.54868
-2973.719012,365,952.71254
-3040.812616,365,955.870308
-2989.593361,365,959.412891
-3005.463836,365,962.657223
-3021.180746,365,967.177469
-3006.101729,365,970.232966
-2986.418796,365,973.299523
-2931.933281,365,976.414189
-2924.236282,365,979.142846
-2942.679806,365,981.903404
-2928.217533,365,984.781055
-2963.533002,365,987.606564
-2959.338229,365,990.495511
-2949.962354,365,993.925504
-2898.466048,365,996.933138
-2909.220532,365,1000.014777
-2938.141821,365,1003.55406
-2920.445455,365,1006.836701
-2838.443548,365,1011.2629
-2848.267867,365,1014.369443
-2828.590102,365,1017.564509
-2816.923078,365,1020.893779
-2844.439991,365,1024.040053
-2844.813091,365,1027.081039
-2883.069427,365,1030.570853
-2861.537386,365,1034.217969
-2873.446831,365,1037.467109
-2878.624682,365,1040.626419
-2853.053879,365,1044.059104
-2841.373899,365,1047.535549
-2867.799189,365,1050.962649
-2848.660305,365,1055.569084
-2851.2729,365,1058.920806
-2853.435687,365,1062.435811
-2850.064686,365,1065.832637
-2836.015187,365,1069.036305
-2855.742246,365,1072.635586
-2842.05174,365,1076.141637
-2852.794571,365,1079.491602
-2818.338361,365,1082.870469
-2794.881043,365,1086.364488
-2784.964077,365,1089.889602
-2754.660793,365,1093.318464
-2759.843844,365,1096.752737
-2771.656246,365,1100.300308
-2757.244276,365,1104.70668
-2784.262473,365,1108.179912
-2755.696323,365,1111.384072
-2775.506851,365,1114.687328
-2797.531726,365,1118.239653
-2782.474185,365,1121.840234
-2771.983004,365,1125.190551
-2783.684721,365,1128.511723
-2756.064848,365,1132.082167
-2777.310567,365,1135.621262
-2781.927522,365,1138.969047
-2768.670904,365,1142.537774
-2765.457666,365,1146.160157
-2749.795867,365,1149.802081
-2751.08675,365,1154.540337
-2740.51954,365,1158.024783
-2766.631462,365,1161.497367
-2734.367539,365,1164.594606
-2737.138939,365,1167.697889
-2728.502207,365,1171.205267
-2727.624268,365,1174.689965
-2712.400085,365,1178.284704
-2711.327823,365,1181.611865
-2720.077391,365,1185.153635
-2709.540477,365,1188.388532
-2708.06183,365,1191.874784
-2698.119033,365,1195.007851
-2690.21126,365,1199.90606
-2685.356607,365,1203.292558
-2690.537497,365,1206.823807
-2655.738217,365,1210.224508
-2683.18631,365,1213.461898
-2686.892449,365,1217.104843
-2683.685911,365,1220.630426
-2658.8557,365,1224.029682
-2649.234026,365,1227.606179
-2655.58093,365,1231.083119
-2701.232304,365,1234.496319
-2651.274903,365,1237.926151
-2650.417929,365,1241.334902
-2746.694709,365,1244.978234
-2677.701765,365,1249.632965
-2652.540261,365,1252.795023
-2690.430521,365,1256.15837
-2674.114927,365,1259.706872
-2684.382713,365,1263.230257
-2676.22547,365,1266.472809
-2658.572477,365,1270.034749
-2652.483352,365,1273.434313
-2647.92301,365,1277.035862
-2644.927756,365,1280.279087
-2635.408462,365,1283.540125
-2649.357156,365,1286.884818
-2658.646053,365,1290.27164
-2675.474379,365,1293.506636
-2645.792876,365,1297.87232
-2659.265485,365,1301.324649
-2671.23942,365,1304.845608
-2656.64575,365,1308.085904
-2670.015871,365,1311.454574
-2690.856213,365,1314.935615
-2667.237252,365,1318.519494
-2705.143032,365,1321.719778
-2685.586636,365,1325.248296
-2687.633267,365,1328.749907
-2689.065107,365,1332.060304
-2636.325234,365,1335.366318
-2645.086057,365,1338.847247
-2645.766751,365,1343.609524
-2653.721608,365,1346.903941
-2667.622429,365,1350.158105
-2638.031486,365,1353.715513
-2642.496904,365,1357.275033
-2646.895451,365,1360.946949
-2662.008912,365,1364.524971
-2620.760263,365,1368.189939
-2636.730772,365,1371.798644
-2624.934174,365,1375.378018
-2631.571983,365,1378.969832
-2654.067575,365,1382.626583
-2627.327266,365,1386.317725
-2592.004617,365,1389.980911
-2598.096905,365,1394.691444
-2603.821619,365,1398.259242
