#{"t_start": 1777360775.067273, "env_id": "None"}
r,l,t
-3363.389763,365,973.196125
-3298.799475,365,978.193546
-3411.787375,365,985.739408
-3325.020722,365,990.849789
-3346.191345,365,995.833931
-3416.110353,365,1000.889361
-3307.114509,365,1005.883691
-3333.709266,365,1010.910783
-3339.985347,365,1015.848972
-3285.074881,365,1020.849737
-3305.01536,365,1025.879867
-3314.160457,365,1030.786886
-3370.363708,365,1036.020066
-3310.344103,365,1041.677573
-3307.485068,365,1046.495682
-3365.066715,365,1051.143295
-3302.828997,365,1059.020757
-3272.538637,365,1064.391741
-3345.898539,365,1069.965234
-3327.847157,365,1074.864477
-3290.19341,365,1079.951253
-3292.458592,365,1085.188922
-3367.35739,365,1090.235144
-3335.270643,365,1095.229385
-3224.100931,365,1100.365361
-3329.956055,365,1105.483908
-3325.726274,365,1110.565264
-3268.347228,365,1115.622796
-3288.016662,365,1120.700402
-3279.199029,365,1125.850331
-3275.4338,365,1133.422206
-3315.452979,365,1138.512147
-3349.319282,365,1144.078797
-3285.769035,365,1148.902173
-3297.387549,365,1153.301668
-3368.862132,365,1157.767393
-3304.208788,365,1162.449659
-3314.872499,365,1168.001698
-3249.844457,365,1173.05178
-3311.529384,365,1177.941306
-3322.830178,365,1182.762029
-3275.388435,365,1187.519822
-3263.76822,365,1192.042958
-3278.666955,365,1198.891806
-3311.421189,365,1203.92483
-3314.631649,365,1208.839796
-3259.135349,365,1213.880508
-3289.781419,365,1218.871104
-3265.064061,365,1223.778965
-3206.444244,365,1228.798889
-3266.960063,365,1233.714387
-3264.723534,365,1238.61107
-3197.147888,365,1243.637928
-3222.710364,365,1248.686133
-3270.362854,365,1253.816028
-3270.968188,365,1259.203787
-3313.556806,365,1264.134535
-3181.215624,365,1271.600964
-3244.301835,365,1276.62699
-3220.450031,365,1281.65038
-3221.689548,365,1286.484417
-3256.317642,365,1291.16823
-3233.576332,365,1296.279092
-3252.863522,365,1301.141454
-3302.220505,365,1306.009281
-3250.451307,365,1311.117006
-3236.583573,365,1316.225961
-3210.993316,365,1321.201444
-3161.529486,365,1326.435692
-3213.491996,365,1331.430618
-3181.633091,365,1336.484046
-3223.292722,365,1344.116402
-3178.680037,365,1349.254941
-3202.893922,365,1353.668007
-3153.254184,365,1358.339592
-3318.358457,365,1363.38141
-3223.417164,365,1368.273125
-3239.882183,365,1373.24326
-3256.152651,365,1378.306622
-3208.135397,365,1383.011192
-3285.690504,365,1387.700849
-3319.244627,365,1392.739627
-3204.268029,365,1397.262268
-3244.392557,365,1401.851885
-3228.302543,365,1409.347085
-3257.180814,365,1413.986538
-3189.777158,365,1418.668722
-3153.598223,365,1423.349071
-3263.409388,365,1428.175433
-3139.003786,365,1432.804398
-3203.571299,365,1437.416354
-3240.510991,365,1442.110432
-3239.417509,365,1446.822196
-3164.449789,365,1451.306061
-3195.44002,365,1455.829129
-3215.282897,365,1460.353798
-3202.542518,365,1465.362735
-3245.268852,365,1470.257198
-3205.136681,365,1477.753734
-3166.490536,365,1482.667286
-3296.049158,365,1487.728232
-3202.758571,365,1492.728362
-3195.557255,365,1497.712346
-3192.581218,365,1502.679522
-3218.336397,365,1507.727282
-3268.342198,365,1512.744338
-3131.147709,365,1517.850459
-3179.608113,365,1523.436605
-3137.691597,365,1528.675603
-3121.525019,365,1534.135569
-3224.547064,365,1539.491039
-3309.573244,365,1544.778528
-3187.360652,365,1552.596983
-3108.444139,365,1557.831601
-3091.24282,365,1563.187143
-3209.160795,365,1568.467731
-3150.745266,365,1573.687718
-3063.027619,365,1578.757691
-3140.733222,365,1584.076227
-3208.821961,365,1590.193875
-3140.110613,365,1595.293085
-3118.663776,365,1600.416586
-3135.346335,365,1605.543562
-3097.844712,365,1610.473275
-3090.981506,365,1615.504775
-3080.684417,365,1620.731601
-3104.653319,365,1628.755364
-3121.829857,365,1634.084274
-3124.887017,365,1639.736737
-3054.019583,365,1644.989802
-3140.499747,365,1650.335239
-3069.856425,365,1655.67725
-3066.103929,365,1661.239922
-3104.534948,365,1666.635529
-3076.104156,365,1671.793649
-3052.80664,365,1677.110987
-3057.118812,365,1682.595083
-3005.304078,365,1688.004062
-3065.996721,365,1693.970101
-3049.854706,365,1701.725987
-3165.324839,365,1707.062703
-3033.212265,365,1712.379725
-3288.189765,365,1717.818588
-2998.641454,365,1723.113622
-3036.81557,365,1728.71636
-3112.337545,365,1734.268274
-2960.885611,365,1739.633025
-3053.990365,365,1745.069137
-3045.253604,365,1750.57219
-2990.238215,365,1756.009486
-3207.856373,365,1761.058522
-3042.538141,365,1766.088864
-3102.587049,365,1771.431013
-3065.39443,365,1779.299268
-3076.19856,365,1784.865053
-3015.92929,365,1790.214723
-3085.840326,365,1795.485269
-3115.099955,365,1800.750865
-3037.806803,365,1806.1268
-3004.538725,365,1811.633814
-3006.816442,365,1817.007669
-3092.365663,365,1821.951872
-3101.287721,365,1827.029105
-3038.763364,365,1832.021928
-3033.860441,365,1837.072229
-3127.062811,365,1842.072499
-3028.95241,365,1847.127318
-3044.179601,365,1854.323054
-3045.165167,365,1858.89793
-3048.89733,365,1863.503647
-2984.240463,365,1868.10957
-3039.931383,365,1873.005271
-3039.049744,365,1877.985588
-3143.936203,365,1882.963132
-2996.920622,365,1887.852279
-3060.829471,365,1892.582872
-3059.877722,365,1897.523544
-3016.160062,365,1902.507753
-3041.457667,365,1907.542233
-3040.770933,365,1912.404634
-3120.129124,365,1919.849083
-3084.258992,365,1924.776987
-3050.997439,365,1929.734439
-3006.951525,365,1934.648476
-3065.122121,365,1939.199683
-3004.500838,365,1944.259439
-3040.240016,365,1949.24859
-3095.327451,365,1954.040603
-2995.073534,365,1958.693824
-3052.954773,365,1963.915209
-2957.27099,365,1968.928836
-3024.281729,365,1973.886923
-2976.863031,365,1978.917931
-3017.74547,365,1983.946717
-3009.476116,365,1991.487766
-2982.687011,365,1996.443266
-2975.939451,365,2001.409987
-3063.376436,365,2006.409812
-3064.986695,365,2011.410364
-3001.509788,365,2016.387336
-2939.444458,365,2021.386578
-3018.78116,365,2026.39696
-2975.727719,365,2031.270809
-3036.030996,365,2036.232725
-3016.848724,365,2041.685818
-3001.972863,365,2046.653121
-3036.004159,365,2051.646693
-3020.470247,365,2056.430269
-2982.008335,365,2063.670015
-2997.987779,365,2068.363754
-2996.856512,365,2073.421651
-2984.028578,365,2078.251953
-3005.95235,365,2083.047739
-2958.313103,365,2087.846158
-3003.873275,365,2092.709441
-3043.700013,365,2098.167029
-3015.503416,365,2102.908617
-2951.59659,365,2107.676467
-2955.148205,365,2112.780497
-3012.436991,365,2117.7998
-3005.030837,365,2123.241332
-3007.018629,365,2130.993455
-3019.51291,365,2136.021506
-3013.713278,365,2141.017691
-2947.237768,365,2146.18987
-2966.70553,365,2151.253433
-2957.363373,365,2156.304176
-3001.356728,365,2161.467593
-2923.040444,365,2166.677491
-2951.250593,365,2171.782174
-3038.688671,365,2176.947513
-2972.764242,365,2181.912363
-2962.124832,365,2187.162396
-2983.54209,365,2192.317271
-2950.42253,365,2197.393332
-2976.33455,365,2204.8809
-2968.087414,365,2209.908164
-3037.998431,365,2215.0211
-3022.014375,365,2220.102948
-3010.000267,365,2225.318561
-2928.636714,365,2230.362588
-3017.25245,365,2235.385969
-2984.450004,365,2240.613917
-2932.553371,365,2245.640165
-2882.114602,365,2250.979777
-2961.815422,365,2256.038875
-3016.040666,365,2261.058814
-3100.887764,365,2266.250228
-2932.902667,365,2271.372641
-2971.693084,365,2278.799728
-2987.905319,365,2284.092869
-3040.694469,365,2289.747918
-2958.366221,365,2297.177484
-2987.999057,365,2304.670585
-3090.946427,365,2312.61492
-2965.188719,365,2318.376429
-2945.605876,365,2324.573194
-3044.177605,365,2331.212578
-2938.025951,365,2337.102849
-2961.214695,365,2343.68486
-2913.830634,365,2348.797443
-2947.139553,365,2353.909519
-2940.692181,365,2358.992073
-2953.169458,365,2366.334856
-2946.367472,365,2371.360745
-3017.356076,365,2376.47086
-2940.10983,365,2381.708474
-3022.132991,365,2386.992198
-2988.562603,365,2392.121137
-2969.397478,365,2397.446794
-2981.287948,365,2402.863619
-2987.541055,365,2408.27136
-2908.854863,365,2413.707906
-3001.14029,365,2419.073561
-2985.308663,365,2424.259512
-2941.435699,365,2429.781854
-2949.4685,365,2437.398096
-2927.118276,365,2442.417265
-2958.568781,365,2447.355872
-2968.343184,365,2452.262374
-2947.690489,365,2457.288218
-2930.014945,365,2462.333926
-3043.728544,365,2467.328205
-2951.63975,365,2472.302169
-2978.984557,365,2477.286415
-2971.008569,365,2482.306459
-3115.222974,365,2487.248149
-2959.514436,365,2492.223199
-2937.472406,365,2497.2014
-3195.204929,365,2502.243831
-2974.59543,365,2509.840117
-3012.840433,365,2515.083888
-2984.987688,365,2520.60494
-2989.9866,365,2526.418545
-3018.681882,365,2531.380071
-2937.053042,365,2536.230881
-2943.143622,365,2541.226362
-2976.749148,365,2546.028434
-3058.836246,365,2550.805404
-2998.245187,365,2555.858797
-2978.590736,365,2560.946274
-2970.554496,365,2566.370708
-2892.180697,365,2571.572911
-2939.456857,365,2576.831203
-2990.372301,365,2584.953644
-3046.491447,365,2590.073215
-2951.779537,365,2595.097603
-2981.853911,365,2600.053108
-3009.216078,365,2605.223015
-2952.769034,365,2610.21874
-2988.303827,365,2615.415206
-3055.082276,365,2620.465027
-2937.471525,365,2625.491363
-3040.861062,365,2630.348281
-2935.012873,365,2635.301516
-2950.58485,365,2640.245465
-2960.374511,365,2645.098444
-2928.943366,365,2652.417685
-2931.407697,365,2657.251831
-2953.04208,365,2662.132591
-2946.479919,365,2667.248704
-2923.339312,365,2672.746838
-2971.005046,365,2678.145738
-2908.702004,365,2683.269638
-2978.500686,365,2688.909946
-3015.057252,365,2694.928079
-2901.362201,365,2700.368851
-2949.489815,365,2705.376585
-2906.800588,365,2710.425711
-2975.380802,365,2715.984578
-2956.683124,365,2722.28877
-2942.352855,365,2731.193671
-2894.88006,365,2736.179559
-2916.606873,365,2741.473555
-2942.229363,365,2746.900983
-3002.02398,365,2752.755867
-2988.062212,365,2758.104037
-2975.09221,365,2763.649359
-2914.384134,365,2769.050357
-3019.407293,365,2774.072359
-2967.435076,365,2779.048774
-2964.884206,365,2784.095122
-2924.355755,365,2789.088329
-2938.668684,365,2793.986557
-2978.522296,365,2799.020096
-3063.637722,365,2806.646604
-2947.434042,365,2811.786111
-2926.185963,365,2816.877835
-2969.495271,365,2822.370191
-2953.730334,365,2827.956597
-3023.246351,365,2834.752489
-2985.337585,365,2842.186614
-2989.944392,365,2848.982245
-2990.639603,365,2854.570656
-2978.853488,365,2859.84876
-2919.553751,365,2864.810335
-2948.071399,365,2870.031265
-2965.292803,365,2875.137152
