#{"t_start": 1777365480.2934458, "env_id": "None"}
r,l,t
-31724.010259,365,47.451801
-29793.587334,365,47.526215
-31533.796436,365,47.600303
-31240.806807,365,47.674486
-32437.787961,365,47.748971
-29767.31372,365,47.824968
-30594.115423,365,47.900284
-30396.354184,365,48.322966
-31177.968002,365,48.396717
-29952.316605,365,48.470492
-34004.184344,365,48.544748
-31371.722738,365,48.620656
-30390.417157,365,48.695031
-33242.985358,365,48.768592
-31681.241942,365,48.841743
-30577.10246,365,48.915503
-31765.174688,365,48.989595
-30333.935148,365,49.063807
-31476.351683,365,49.137024
-31372.424394,365,49.211046
-30656.597354,365,49.284829
-30473.01122,365,49.705282
-30620.786077,365,49.778801
-32964.851634,365,49.853919
-31872.883446,365,49.928207
-29876.328901,365,50.0026
-32758.9515,365,50.077069
-30844.637665,365,50.150827
-32765.960687,365,50.224923
-30736.592193,365,50.298044
-30066.341431,365,50.398262
-31705.54691,365,50.472443
-29520.155429,365,50.54672
-30641.972423,365,50.620245
-27585.189476,365,51.04483
-30523.640907,365,51.118492
-32440.001747,365,51.19269
-31200.521049,365,51.266985
-29838.777621,365,51.341636
-30064.630569,365,51.416352
-30643.999236,365,51.490951
-29724.26724,365,51.565107
-29535.79206,365,51.638966
-29114.94604,365,51.712943
-31242.930517,365,51.78688
-29041.636351,365,51.860802
-31208.966527,365,51.934265
-28867.844543,365,52.00806
-30443.264314,365,52.435696
-29902.870167,365,52.509998
-31878.648753,365,52.584306
-31144.926133,365,52.660524
-31832.819327,365,52.737729
-32269.903436,365,52.814318
-29605.176736,365,52.888852
-28430.204667,365,52.96437
-31139.9443,365,53.041026
-30872.282138,365,53.116993
-30809.663664,365,53.19154
-30997.295724,365,53.266246
-28592.766301,365,53.339868
-31646.449808,365,53.4141
-28640.927718,365,53.832817
-29796.97067,365,53.907694
-31218.670586,365,53.982727
-29860.506417,365,54.057177
-30244.488429,365,54.1315
-30151.309823,365,54.205455
-30726.176304,365,54.279804
-29607.201683,365,54.354113
-31591.121615,365,54.427327
-31258.747309,365,54.501496
-30432.533809,365,54.576033
-30343.927168,365,54.649859
-31705.94833,365,54.724209
-27703.276332,365,55.144405
